,id,site,cv,size,err
60,P0010,c,loos,50.0,7.93707674086
61,P0010,c,loos,100.0,8.33686889295
62,P0010,c,loos,200.0,9.38965357652
63,P0010,c,loos,300.0,8.89126594398
64,P0010,c,loos,400.0,9.43999442102
65,P0010,c,loos,500.0,10.0516528542
66,P0010,c,loos,600.0,10.1814580669
67,P0010,c,loos,700.0,9.33432745521
68,P0010,c,loos,800.0,9.34432331492
69,P0010,c,loos,900.0,9.43858669129
70,P0010,c,rand,50.0,8.326484462
71,P0010,c,rand,100.0,7.46322772675
72,P0010,c,rand,200.0,8.49776623628
73,P0010,c,rand,300.0,9.8156491603
74,P0010,c,rand,400.0,9.59266305236
75,P0010,c,rand,500.0,9.39935150578
76,P0010,c,rand,600.0,8.77497855219
77,P0010,c,rand,700.0,9.97484672482
78,P0010,c,rand,800.0,9.76850504799
79,P0010,c,rand,900.0,9.91511340901
80,P0011,c,loos,50.0,3.98299602552
81,P0011,c,loos,100.0,3.08715652149
82,P0011,c,loos,200.0,1.85641464613
83,P0011,c,loos,300.0,1.26471717362
84,P0011,c,loos,400.0,1.14266835844
85,P0011,c,loos,500.0,1.04647006282
86,P0011,c,loos,600.0,0.982736026429
87,P0011,c,loos,700.0,0.769280920453
88,P0011,c,loos,800.0,0.70217156274
89,P0011,c,loos,900.0,0.750443202381
90,P0011,c,rand,50.0,3.04221526295
91,P0011,c,rand,100.0,1.18411656018
92,P0011,c,rand,200.0,1.0061888752
93,P0011,c,rand,300.0,0.484738937725
94,P0011,c,rand,400.0,0.452721555575
95,P0011,c,rand,500.0,0.3711599454
96,P0011,c,rand,600.0,0.323960252238
97,P0011,c,rand,700.0,0.143611912645
98,P0011,c,rand,800.0,0.131209244301
99,P0011,c,rand,900.0,0.102507112362
100,P0013,c,loos,50.0,1.80194200624
101,P0013,c,loos,100.0,1.61695493278
102,P0013,c,loos,200.0,1.28247792533
103,P0013,c,loos,300.0,1.23206098549
104,P0013,c,loos,400.0,1.04398823896
105,P0013,c,loos,500.0,1.14166278625
106,P0013,c,loos,600.0,1.30507080608
107,P0013,c,loos,700.0,1.06998265188
108,P0013,c,loos,800.0,1.31083642785
109,P0013,c,loos,900.0,1.36616915747
110,P0013,g,rand,50.0,1.41697716764
111,P0013,g,rand,100.0,1.19532320391
112,P0013,g,rand,200.0,0.9215633367
113,P0013,g,rand,300.0,0.691033122925
114,P0013,g,rand,400.0,0.71278532391
115,P0013,g,rand,500.0,0.603786588859
116,P0013,g,rand,600.0,0.728201678032
117,P0013,g,rand,700.0,0.76618439436
118,P0013,g,rand,800.0,0.785245362131
119,P0013,g,rand,900.0,0.823227729288
120,P0014,c,loos,50.0,2.54223311381
121,P0014,c,loos,100.0,2.54606089318
122,P0014,c,loos,200.0,2.10434375956
123,P0014,c,loos,300.0,1.98438472304
124,P0014,c,loos,400.0,1.54960836702
125,P0014,c,loos,500.0,2.05116073234
126,P0014,c,loos,600.0,1.48123873053
127,P0014,c,loos,700.0,1.15536323518
128,P0014,c,loos,800.0,1.10497703105
129,P0014,c,loos,900.0,0.999658378733
130,P0014,g,rand,50.0,1.96396757674
131,P0014,g,rand,100.0,2.09155298634
132,P0014,g,rand,200.0,2.02320227593
133,P0014,g,rand,300.0,1.82453210618
134,P0014,g,rand,400.0,1.44942527824
135,P0014,g,rand,500.0,1.30618850897
136,P0014,g,rand,600.0,1.546842775
137,P0014,g,rand,700.0,0.826665283878
138,P0014,g,rand,800.0,0.974674021231
139,P0014,g,rand,900.0,0.717799282246
140,P0015,c,loos,50.0,1.39820370295
141,P0015,c,loos,100.0,1.48952057522
142,P0015,c,loos,200.0,0.970806913216
143,P0015,c,loos,300.0,0.929579139177
144,P0015,c,loos,400.0,0.843444211121
145,P0015,c,loos,500.0,0.70277046262
146,P0015,c,loos,600.0,0.655883063239
147,P0015,c,loos,700.0,0.688592531919
148,P0015,c,loos,800.0,0.612734725932
149,P0015,c,loos,900.0,0.58040828903
150,P0015,i,rand,50.0,1.58187880674
151,P0015,i,rand,100.0,1.45141359412
152,P0015,i,rand,200.0,1.90268243053
153,P0015,i,rand,300.0,2.16566779288
154,P0015,i,rand,400.0,1.90459477716
155,P0015,i,rand,500.0,2.29641616361
156,P0015,i,rand,600.0,2.72299275953
157,P0015,i,rand,700.0,2.56888744028
158,P0015,i,rand,800.0,2.60797231962
159,P0015,i,rand,900.0,2.56327672955
160,P0016,b,rand,50.0,1.35741526702
161,P0016,b,rand,100.0,1.30703790541
162,P0016,b,rand,200.0,1.56166362036
163,P0016,b,rand,300.0,0.827382988
164,P0016,b,rand,400.0,0.9216070805
165,P0016,b,rand,500.0,0.850974013891
166,P0016,b,rand,600.0,0.675993107665
167,P0016,b,rand,700.0,0.616421077168
168,P0016,b,rand,800.0,0.406365633248
169,P0016,b,rand,900.0,0.440237001849
170,P0016,c,loos,50.0,1.27219683057
171,P0016,c,loos,100.0,1.15264248927
172,P0016,c,loos,200.0,0.750219239402
173,P0016,c,loos,300.0,0.660930790236
174,P0016,c,loos,400.0,0.406318132487
175,P0016,c,loos,500.0,0.33040330479
